family,instance,reference_type,appliances,segments,logical_variables,quadratic_terms,edge_density,maximum_degree,coefficient_dynamic_range,instance_seed,sampler_seed,sampler,num_reads,num_sweeps,wall_time_s,best_energy,reference_energy,best_known_energy,best_known_source,relative_best_known_gap,best_known_hit,exact_energy,certified_relative_gap,certified_optimum_hit,bit_accuracy,precision,recall,f1,mcc,aggregate_mae_w,occurrences,backend_name,physical_qubits,maximum_chain_length,mean_chain_break_fraction,qpu_access_time_us
synthetic,synthetic-3x4-seed-0,generated appliance states,3,4,12,21,0.3181818181818182,4,675540.0161733545,0,0,simulated,32,1000,0.016966332914307714,497872.1395691149,513257.38474138454,497872.1395691149,simulated,0.0,True,497872.13956914656,-6.360060148038974e-14,True,0.9166666666666666,1.0,0.9,0.9473684210526316,0.7745966692414834,22.886347824184497,1,simulated,,,,
synthetic,synthetic-3x4-seed-0,generated appliance states,3,4,12,21,0.3181818181818182,4,675540.0161733545,0,0,tabu,32,,1.6323591249529272,497872.1395691149,513257.38474138454,497872.1395691149,simulated,0.0,True,497872.13956914656,-6.360060148038974e-14,True,0.9166666666666666,1.0,0.9,0.9473684210526316,0.7745966692414834,22.886347824184497,1,tabu,,,,
synthetic,synthetic-3x4-seed-1,generated appliance states,3,4,12,21,0.3181818181818182,4,787837.0128727758,1,1,simulated,32,1000,0.0038301250897347927,491429.79088477045,491429.79088477045,491429.79088477045,simulated,0.0,True,491429.79088477045,0.0,True,1.0,1.0,1.0,1.0,1.0,9.059395632073148,1,simulated,,,,
synthetic,synthetic-3x4-seed-1,generated appliance states,3,4,12,21,0.3181818181818182,4,787837.0128727758,1,1,tabu,32,,1.632291124900803,491429.79088477045,491429.79088477045,491429.79088477045,simulated,0.0,True,491429.79088477045,0.0,True,1.0,1.0,1.0,1.0,1.0,9.059395632073148,1,tabu,,,,
synthetic,synthetic-3x4-seed-2,generated appliance states,3,4,12,21,0.3181818181818182,4,414713.7028546824,2,2,simulated,32,1000,0.0038323330227285624,981980.5926974493,993134.6139741768,981980.5926974493,simulated,0.0,True,981980.5926974493,0.0,True,0.8333333333333334,1.0,0.6666666666666666,0.8,0.7071067811865476,10.792894420032601,1,simulated,,,,
synthetic,synthetic-3x4-seed-2,generated appliance states,3,4,12,21,0.3181818181818182,4,414713.7028546824,2,2,tabu,32,,1.6326185842044652,981980.5926974493,993134.6139741768,981980.5926974493,simulated,0.0,True,981980.5926974493,0.0,True,0.8333333333333334,1.0,0.6666666666666666,0.8,0.7071067811865476,10.792894420032601,1,tabu,,,,
synthetic,synthetic-3x8-seed-0,generated appliance states,3,8,24,45,0.16304347826086957,4,1182334.181584812,0,0,simulated,32,1000,0.007485042093321681,1513464.2458873093,1513464.2458873093,1513464.2458873093,simulated,0.0,True,,,,1.0,1.0,1.0,1.0,1.0,16.411978171071446,1,simulated,,,,
synthetic,synthetic-3x8-seed-0,generated appliance states,3,8,24,45,0.16304347826086957,4,1182334.181584812,0,0,tabu,32,,1.6327362500596792,1513464.2458873093,1513464.2458873093,1513464.2458873093,simulated,0.0,True,,,,1.0,1.0,1.0,1.0,1.0,16.411978171071446,1,tabu,,,,
synthetic,synthetic-3x8-seed-1,generated appliance states,3,8,24,45,0.16304347826086957,4,696353.8210311016,1,1,simulated,32,1000,0.008182791993021965,2231721.9786116006,2237822.218556174,2231721.9786116006,simulated,0.0,True,,,,0.9166666666666666,0.9,0.9,0.9,0.8285714285714286,18.609930525726206,1,simulated,,,,
synthetic,synthetic-3x8-seed-1,generated appliance states,3,8,24,45,0.16304347826086957,4,696353.8210311016,1,1,tabu,32,,1.6324882498010993,2231721.9786116006,2237822.218556174,2231721.9786116006,simulated,0.0,True,,,,0.9166666666666666,0.9,0.9,0.9,0.8285714285714286,18.609930525726206,1,tabu,,,,
synthetic,synthetic-3x8-seed-2,generated appliance states,3,8,24,45,0.16304347826086957,4,909075.982140547,2,2,simulated,32,1000,0.007571000140160322,2179417.7055975497,2179417.7055975497,2179417.7055975497,simulated,0.0,True,,,,1.0,1.0,1.0,1.0,1.0,17.833242445155797,1,simulated,,,,
synthetic,synthetic-3x8-seed-2,generated appliance states,3,8,24,45,0.16304347826086957,4,909075.982140547,2,2,tabu,32,,1.6317323329858482,2179417.7055975497,2179417.7055975497,2179417.7055975497,simulated,0.0,True,,,,1.0,1.0,1.0,1.0,1.0,17.833242445155797,1,tabu,,,,
synthetic,synthetic-6x8-seed-0,generated appliance states,6,8,48,162,0.14361702127659576,7,1246871.2797608161,0,0,simulated,32,1000,0.016920374939218163,643709.4174445868,643709.4174445868,643709.4174445868,simulated,0.0,True,,,,1.0,1.0,1.0,1.0,1.0,13.663173776026692,1,simulated,,,,
synthetic,synthetic-6x8-seed-0,generated appliance states,6,8,48,162,0.14361702127659576,7,1246871.2797608161,0,0,tabu,32,,1.6320981660392135,643709.4174445868,643709.4174445868,643709.4174445868,simulated,0.0,True,,,,1.0,1.0,1.0,1.0,1.0,13.663173776026692,1,tabu,,,,
synthetic,synthetic-6x8-seed-1,generated appliance states,6,8,48,162,0.14361702127659576,7,1328376.0791618451,1,1,simulated,32,1000,0.015300957951694727,1635009.0725155473,1641342.0631950796,1635009.0725155473,simulated,0.0,True,,,,0.9791666666666666,1.0,0.9629629629629629,0.9811320754716981,0.9587449708822046,21.227240574030805,1,simulated,,,,
synthetic,synthetic-6x8-seed-1,generated appliance states,6,8,48,162,0.14361702127659576,7,1328376.0791618451,1,1,tabu,32,,1.6319280411116779,3889058.2222270668,1641342.0631950796,1635009.0725155473,simulated,1.3786156833023235,False,,,,0.7291666666666666,0.7916666666666666,0.7037037037037037,0.7450980392156864,0.46195657812238883,140.04458699468935,1,tabu,,,,
synthetic,synthetic-6x8-seed-2,generated appliance states,6,8,48,162,0.14361702127659576,7,1365348.9002910797,2,2,simulated,32,1000,0.016592875123023987,539206.3555205464,539206.3555205464,539206.3555205464,simulated,0.0,True,,,,1.0,1.0,1.0,1.0,1.0,11.855354045884614,1,simulated,,,,
synthetic,synthetic-6x8-seed-2,generated appliance states,6,8,48,162,0.14361702127659576,7,1365348.9002910797,2,2,tabu,32,,1.6326600410975516,4624631.337082803,539206.3555205464,539206.3555205464,simulated,7.576737439636099,False,,,,0.9375,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.874459698716736,109.14185226675724,1,tabu,,,,
synthetic,synthetic-6x16-seed-0,generated appliance states,6,16,96,330,0.07236842105263158,7,1766439.51792255,0,0,simulated,32,1000,0.03211145894601941,2924165.753832817,2931223.8493905067,2924165.753832817,simulated,0.0,True,,,,0.9479166666666666,0.9516129032258065,0.9672131147540983,0.959349593495935,0.8871261396195388,23.080480623807723,1,simulated,,,,
synthetic,synthetic-6x16-seed-0,generated appliance states,6,16,96,330,0.07236842105263158,7,1766439.51792255,0,0,tabu,32,,1.632292125141248,5278160.423158169,2931223.8493905067,2924165.753832817,simulated,0.8050141023093099,False,,,,0.84375,0.896551724137931,0.8524590163934426,0.8739495798319327,0.670285264115132,107.96865276198375,1,tabu,,,,
synthetic,synthetic-6x16-seed-1,generated appliance states,6,16,96,330,0.07236842105263158,7,1504858.844449434,1,1,simulated,32,1000,0.0318146669305861,2134329.843559265,2148227.277374506,2134329.843559265,simulated,0.0,True,,,,0.9895833333333334,1.0,0.9761904761904762,0.9879518072289156,0.9790002852101517,15.705047566059857,1,simulated,,,,
synthetic,synthetic-6x16-seed-1,generated appliance states,6,16,96,330,0.07236842105263158,7,1504858.844449434,1,1,tabu,32,,1.632921583019197,2147794.9484961033,2148227.277374506,2134329.843559265,simulated,0.0063088209994680965,False,,,,0.96875,0.975609756097561,0.9523809523809523,0.963855421686747,0.9365504083446708,17.689534057100666,1,tabu,,,,
synthetic,synthetic-6x16-seed-2,generated appliance states,6,16,96,330,0.07236842105263158,7,2519880.231989844,2,2,simulated,32,1000,0.03323329193517566,1980854.198826909,1992440.8016831875,1980854.198826909,simulated,0.0,True,,,,0.9791666666666666,1.0,0.9565217391304348,0.9777777777777777,0.9590268199959645,19.30738532045905,1,simulated,,,,
synthetic,synthetic-6x16-seed-2,generated appliance states,6,16,96,330,0.07236842105263158,7,2519880.231989844,2,2,tabu,32,,1.6322944171261042,2038136.963380456,1992440.8016831875,1980854.198826909,simulated,0.028918213459360412,False,,,,0.90625,0.9302325581395349,0.8695652173913043,0.898876404494382,0.813286561194661,25.954154135169855,1,tabu,,,,
synthetic,synthetic-12x16-seed-0,generated appliance states,12,16,192,1236,0.06740837696335078,13,3633983.9603305976,0,0,simulated,32,1000,0.07695137499831617,2029702.6292338371,1862909.5225753784,1862909.5225753784,reference state,0.08953365938452859,False,,,,0.5,0.6095238095238096,0.5378151260504201,0.5714285714285715,-0.02323705890215212,23.732579701264306,1,simulated,,,,
synthetic,synthetic-12x16-seed-0,generated appliance states,12,16,192,1236,0.06740837696335078,13,3633983.9603305976,0,0,tabu,32,,1.632848583161831,3794110.6049728394,1862909.5225753784,1862909.5225753784,reference state,1.0366585488959619,False,,,,0.4739583333333333,0.625,0.37815126050420167,0.4712041884816754,0.008310759494761165,59.56225354843031,1,tabu,,,,
synthetic,synthetic-12x16-seed-1,generated appliance states,12,16,192,1236,0.06740837696335078,13,2996319.107096866,1,1,simulated,32,1000,0.07311404100619256,2615016.5961620808,3233171.554236889,2615016.5961620808,simulated,0.0,True,,,,0.5572916666666666,0.550561797752809,0.5212765957446809,0.5355191256830601,0.11339062227021242,41.95066021458697,1,simulated,,,,
synthetic,synthetic-12x16-seed-1,generated appliance states,12,16,192,1236,0.06740837696335078,13,2996319.107096866,1,1,tabu,32,,1.6329477499239147,9773428.6016078,3233171.554236889,2615016.5961620808,simulated,2.7374250763653794,False,,,,0.5729166666666666,0.5769230769230769,0.4787234042553192,0.5232558139534883,0.14452103140064976,130.63452528784705,1,tabu,,,,
synthetic,synthetic-12x16-seed-2,generated appliance states,12,16,192,1236,0.06740837696335078,13,4376515.072491224,2,2,simulated,32,1000,0.0745673340279609,2137770.8662204742,2024818.241476059,2024818.241476059,reference state,0.055784080976115015,False,,,,0.6145833333333334,0.6120689655172413,0.71,0.6574074074074073,0.22562852234475714,19.651409669390407,1,simulated,,,,
synthetic,synthetic-12x16-seed-2,generated appliance states,12,16,192,1236,0.06740837696335078,13,4376515.072491224,2,2,tabu,32,,1.6327279168181121,3190179.303293228,2024818.241476059,2024818.241476059,reference state,0.5755386028958531,False,,,,0.59375,0.6341463414634146,0.52,0.5714285714285714,0.19583831671371504,51.11973912801396,1,tabu,,,,
synthetic,synthetic-18x16-seed-0,generated appliance states,18,16,288,2718,0.06576655052264808,19,4784792.890967514,0,0,simulated,32,1000,0.12630520900711417,6566496.13308239,3567526.3447208405,3567526.3447208405,reference state,0.8406300328515778,False,,,,0.5069444444444444,0.5714285714285714,0.5365853658536586,0.5534591194968553,0.004295731673161363,17.65227906140915,1,simulated,,,,
synthetic,synthetic-18x16-seed-0,generated appliance states,18,16,288,2718,0.06576655052264808,19,4784792.890967514,0,0,tabu,32,,1.6391261250246316,3900524.337779999,3567526.3447208405,3567526.3447208405,reference state,0.09334142508910204,False,,,,0.4930555555555556,0.5918367346938775,0.35365853658536583,0.44274809160305345,0.032478388567685805,49.50298715676038,1,tabu,,,,
synthetic,synthetic-18x16-seed-1,generated appliance states,18,16,288,2718,0.06576655052264808,19,4674274.635644698,1,1,simulated,32,1000,0.13004949991591275,5466425.825922012,4857925.470664978,4663958.686094284,tabu,0.17205708580144702,False,,,,0.5972222222222222,0.4409448818897638,0.5544554455445545,0.4912280701754386,0.16797677373460226,18.58057095765576,1,simulated,,,,
synthetic,synthetic-18x16-seed-1,generated appliance states,18,16,288,2718,0.06576655052264808,19,4674274.635644698,1,1,tabu,32,,1.6362260410096496,4663958.686094284,4857925.470664978,4663958.686094284,tabu,0.0,True,,,,0.625,0.4520547945205479,0.32673267326732675,0.37931034482758624,0.12377168390761122,38.25552369121471,1,tabu,,,,
synthetic,synthetic-18x16-seed-2,generated appliance states,18,16,288,2718,0.06576655052264808,19,5635352.325422196,2,2,simulated,32,1000,0.12405741703696549,5160381.530536652,1979551.308259964,1672339.829032898,tabu,2.0857254255080817,False,,,,0.5138888888888888,0.5849056603773585,0.5568862275449101,0.5705521472392637,0.011346649557825713,14.80423218539651,1,simulated,,,,
synthetic,synthetic-18x16-seed-2,generated appliance states,18,16,288,2718,0.06576655052264808,19,5635352.325422196,2,2,tabu,32,,1.6401390419341624,1672339.829032898,1979551.308259964,1672339.829032898,tabu,0.0,True,,,,0.5138888888888888,0.6363636363636364,0.3772455089820359,0.4736842105263158,0.08285068821151803,38.98385204303455,1,tabu,,,,
